,upc_clean,promo_period,Item_Description,Promo_Start_Week,Promo_End_Week,Promo_Weeks,Regular_Price,Special_Price,Unit_Cost,Baseline_Units,Promo_Units,Baseline_Revenue,Promo_Revenue,Incremental_Revenue,Promo_Spend,ROI,Lift,Breakeven_Lift
1533,3384400270,8_9,BADIA BREAD CRUMBS CON SAZON COMPLETA 15 OZ,8,9,2,3.99,3.28,2.67,0.0,0.0,0.0,0.0,0.0,0.0,,,
1534,3384400412,10_11,BADIA BACON BITS 6/4oz,10,11,2,2.99,2.58,2.15,0.0,0.0,0.0,0.0,0.0,0.0,,,
1535,3384400412,5,BADIA BACON BITS 6/4oz,5,5,1,2.99,2.58,2.15,0.0,0.0,0.0,0.0,0.0,0.0,,,
1536,3384400412,6_7,BADIA BACON BITS 6/4oz,6,7,2,2.99,2.58,2.15,0.0,0.0,0.0,0.0,0.0,0.0,,,
1537,3384491201,10_11,BADIA SAZON COMPLETA 12/9oz,10,11,2,4.99,2.98,2.55,0.0,0.0,0.0,0.0,0.0,0.0,,,
1538,3384491201,6_7,BADIA SAZON COMPLETA 12/9oz,6,7,2,4.99,2.5,2.12,0.0,0.0,0.0,0.0,0.0,0.0,,,
1539,3400000320,10_11,ALMOND JOY BAR 36/1.61oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1540,3400022881,6_7,KIT KAT CRISP WAFFERS MINIATURES 24/9.6oz,6,7,2,5.99,4.48,3.54,0.0,0.0,0.0,0.0,0.0,0.0,,,
1541,3400023643,10_11,KIT KAT DARK 24/1.5oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1542,3400024513,10_11,HERSHEYS BAR SPECIAL DARK ALMOND STD 24/1.45oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1543,3405408,10_11,KIT KAT WHITE STANDARD BAR 24/1.5oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1544,3410008716,6_7,REDDS HARD APPLE 4/6/12oz,6,7,2,10.99,8.98,8.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
1545,3410008730,6_7,REDDS HARD APPLE PEACH 4/6/12oz,6,7,2,10.99,8.98,8.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
