Item,Week #,Regular Price,Special Price,"Units Sold
Last Week","Units Sold
This Week",Promo Spend,"Incremental 
Revenue",Promo ROI
ECONO HARINA DE MAIZ 12/2lb,12,$2.27,$2.00,26,66,$18,$73,4.1
ECONO HARINA DE MAIZ 12/2lb,13,$2.27,$2.00,66,66,$18,-$18,-1.0
ECONO GLASS CLEANER 12/32oz,12,$2.89,$2.00,13,21,$19,$4,0.2
ECONO GLASS CLEANER 12/32oz,13,$2.89,$2.00,21,22,$20,-$17,-0.9
ECONO GALLETA MARIA 32/3.5oz,2,$0.89,$0.58,292,283,$88,-$96,-1.1
ECONO GALLETA MARIA 32/3.5oz,5,$0.89,$0.58,166,345,$107,$52,0.5
ECONO GALLETA MARIA 32/3.5oz,6,$0.89,$0.58,345,326,$101,-$118,-1.2
ECONO GALLETA MARIA 32/3.5oz,7,$0.89,$0.58,326,338,$105,-$94,-0.9
ECONO GALLETA MARIA 32/3.5oz,10,$0.89,$0.58,142,339,$105,$70,0.7
ECONO GALLETA MARIA 32/3.5oz,11,$0.89,$0.58,339,338,$105,-$106,-1.0
ECONO PEANUT LOW SALTED 12/10oz,2,$2.99,$2.50,83,97,$48,-$6,-0.1
ECONO PEANUT LOW SALTED 12/10oz,5,$2.99,$2.50,30,37,$18,$3,0.2
ECONO PICKELS SWEET GHERKINS 12/17oz,4,$2.79,$2.50,11,12,$3,-$1,-0.2
ECONO PICKELS SWEET GHERKINS 12/17oz,10,$2.79,$2.50,11,19,$6,$17,3.1
ECONO PICKELS SWEET GHERKINS 12/17oz,11,$2.79,$2.50,19,2,$1,-$48,-82.8
ECONO CAT FOOD ADULT 12/3lb,10,$4.99,$3.48,66,132,$199,$130,0.7
ECONO CAT FOOD ADULT 12/3lb,11,$4.99,$3.48,132,114,$172,-$262,-1.5
ECONO CAT FOOD ADULT 12/3lb,12,$4.99,$3.48,114,159,$240,-$16,-0.1
ECONO CAT FOOD ADULT 12/3lb,13,$4.99,$3.48,159,119,$180,-$379,-2.1
ECONO CAT FOOD ADULT 1/12lb,8,$14.99,$12.98,31,61,$123,$327,2.7
ECONO CAT FOOD ADULT 1/12lb,9,$14.99,$12.98,61,56,$113,-$188,-1.7
ECONO LEMON ICED TEA MIX 6/66.1oz,2,$9.12,$7.48,91,107,$175,-$29,-0.2
ECONO LEMON ICED TEA MIX 6/66.1oz,5,$9.12,$7.48,63,62,$101,-$110,-1.1
ECONO LEMON ICED TEA MIX 6/66.1oz,6,$9.12,$7.48,62,81,$132,$41,0.3
ECONO LEMON ICED TEA MIX 6/66.1oz,7,$9.12,$7.48,81,98,$160,-$5,0.0
ECONO LEMON ICED TEA MIX 6/66.1oz,12,$9.12,$7.48,83,107,$175,$44,0.3
ECONO LEMON ICED TEA MIX 6/66.1oz,13,$9.12,$7.48,107,84,$137,-$347,-2.5
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/SYRUP SPLENDA 6/4/3.8oz,5,$3.99,$3.00,18,9,$9,-$45,-5.0
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/SYRUP SPLENDA 6/4/3.8oz,7,$3.99,$3.00,26,23,$23,-$35,-1.5
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/SYRUP SPLENDA 6/4/3.8oz,10,$3.99,$3.00,13,4,$4,-$40,-10.1
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/LIGHT SYRUP 6/4/4oz,5,$3.99,$3.00,11,9,$9,-$17,-1.9
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/LIGHT SYRUP 6/4/4oz,7,$3.99,$3.00,18,19,$19,-$15,-0.8
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/LIGHT SYRUP 6/4/4oz,10,$3.99,$3.00,11,33,$33,$55,1.7
ECONO FRUTAS CUPS CHERRY MIX FRUIT W/LIGHT SYRUP 6/4/4oz,11,$3.99,$3.00,33,38,$38,-$18,-0.5
ECONO GELATINA EN POLVO ORANGE 24/3oz,3,$1.89,$1.00,11,53,$47,$32,0.7
ECONO GELATINA EN POLVO ORANGE 24/3oz,4,$1.89,$1.00,53,27,$24,-$73,-3.0
